"OrphaCode"|"Name"|"Group"|"Type"|"OMIM"
166024|"Multiple epiphyseal dysplasia, Al-Gazali type"|"Disorder"|"Disease"|607131
58|"Alexander disease"|"Disorder"|"Disease"|203450
166032|"Multiple epiphyseal dysplasia, with miniepiphyses"|"Disorder"|"Disease"|609325
61|"Alpha-mannosidosis"|"Disorder"|"Disease"|248500
166029|"Multiple epiphyseal dysplasia, with severe proximal femoral dysplasia"|"Disorder"|"Disease"|609324
166038|"Metaphyseal chondrodysplasia, Kaitila type"|"Disorder"|"Disease"|250230
93|"Aspartylglucosaminuria"|"Disorder"|"Disease"|208400
166035|"Brachydactyly-short stature-retinitis pigmentosa syndrome"|"Disorder"|"Malformation syndrome"|250410
585|"Multiple sulfatase deficiency"|"Disorder"|"Disease"|272200
118|"Beta-mannosidosis"|"Disorder"|"Disease"|248510
141|"Canavan disease"|"Disorder"|"Disease"|271900
166063|"Pontocerebellar hypoplasia type 4"|"Disorder"|"Malformation syndrome"|225753
166078|"Von Willebrand disease type 1"|"Subtype of disorder"|"Clinical subtype"|193400
166073|"Pontocerebellar hypoplasia type 6"|"Disorder"|"Malformation syndrome"|611523
213|"Cystinosis"|"Disorder"|"Disease"|219900
166084|"Von Willebrand disease type 2A"|"Subtype of disorder"|"Clinical subtype"|613554
333|"Farber disease"|"Disorder"|"Disease"|228000
166081|"Von Willebrand disease type 2"|"Subtype of disorder"|"Clinical subtype"|613554
349|"Fucosidosis"|"Disorder"|"Disease"|230000
166090|"Von Willebrand disease type 2M"|"Subtype of disorder"|"Clinical subtype"|613554
365|"Glycogen storage disease due to acid maltase deficiency"|"Disorder"|"Disease"|232300
166087|"Von Willebrand disease type 2B"|"Subtype of disorder"|"Clinical subtype"|613554
366|"Glycogen storage disease due to glycogen debranching enzyme deficiency"|"Disorder"|"Disease"|232400
166093|"Von Willebrand disease type 2N"|"Subtype of disorder"|"Clinical subtype"|613554
368|"Glycogen storage disease due to muscle glycogen phosphorylase deficiency"|"Disorder"|"Disease"|232600
166096|"Von Willebrand disease type 3"|"Subtype of disorder"|"Clinical subtype"|277480
367|"Glycogen storage disease due to glycogen branching enzyme deficiency"|"Disorder"|"Disease"|263570
166100|"Autosomal dominant otospondylomegaepiphyseal dysplasia"|"Disorder"|"Malformation syndrome"|184840
371|"Glycogen storage disease due to muscle phosphofructokinase deficiency"|"Disorder"|"Disease"|232800
166105|"FASTKD2-related infantile mitochondrial encephalomyopathy"|"Disorder"|"Disease"|618855
369|"Glycogen storage disease due to liver glycogen phosphorylase deficiency"|"Disorder"|"Disease"|232700
447|"Paroxysmal nocturnal hemoglobinuria"|"Disorder"|"Disease"|615399
166108|"Intellectual disability, Birk-Barel type"|"Disorder"|"Disease"|612292
166113|"Bazex syndrome"|"Disorder"|"Disease"|
535|"Rare cutaneous lupus erythematosus"|"Group of disorders"|"Clinical group"|
166119|"Isolated osteopoikilosis"|"Disorder"|"Disease"|166700
487|"Krabbe disease"|"Disorder"|"Disease"|611722
166260|"Dentinogenesis imperfecta type 2"|"Subtype of disorder"|"Clinical subtype"|605594
166265|"Dentinogenesis imperfecta type 3"|"Subtype of disorder"|"Clinical subtype"|125500
583|"Mucopolysaccharidosis type 6"|"Disorder"|"Disease"|253200
166272|"Odontochondrodysplasia"|"Disorder"|"Malformation syndrome"|184260
576|"Mucolipidosis type II"|"Disorder"|"Disease"|252500
166277|"Wormian bone-multiple fractures-dentinogenesis imperfecta-skeletal dysplasia"|"Disorder"|"Malformation syndrome"|604922
812|"Sialidosis type 1"|"Disorder"|"Disease"|256550
166282|"Familial sick sinus syndrome"|"Disorder"|"Disease"|614090
578|"Mucolipidosis type IV"|"Disorder"|"Disease"|252650
166286|"Porokeratotic eccrine ostial and dermal duct nevus"|"Disorder"|"Disease"|
577|"Mucolipidosis type III"|"Disorder"|"Disease"|252605
166291|"Dirofilariasis"|"Disorder"|"Disease"|
166295|"Benign non-familial infantile seizures"|"Group of disorders"|"Clinical group"|
166308|"Benign infantile focal epilepsy with midline spikes and waves during sleep"|"Disorder"|"Disease"|
166305|"Benign infantile seizures associated with mild gastroenteritis"|"Disorder"|"Disease"|
2912|"Poliomyelitis"|"Disorder"|"Disease"|
