"OrphaCode"|"AverageAgeOfOnset"|"AverageAgeOfDeath"|"InheritanceTypes"
166024|"Infancy, Neonatal"|""|"Autosomal recessive"
58|"All ages"|"any age"|"Autosomal dominant"
166032|"Childhood, Infancy"|"No data available"|""
61|"Childhood, Infancy, Neonatal"|"any age"|"Autosomal recessive"
166029|"Childhood"|"No data available"|""
166038|"Neonatal"|"No data available"|""
93|"Childhood"|""|"Autosomal recessive"
166035|"Childhood, Infancy"|"No data available"|""
585|"Infancy, Neonatal"|"No data available"|"Autosomal recessive"
118|"Adolescent, Adult, Childhood, Infancy, Neonatal"|""|"Autosomal recessive"
141|"Childhood, Infancy, Neonatal"|"adolescent, late childhood"|"Autosomal recessive"
166063|"Antenatal"|"early childhood, infantile"|"Autosomal recessive"
166078|"All ages"|"normal life expectancy"|"Autosomal dominant"
166073|"Neonatal"|"early childhood"|"Autosomal recessive"
213|"Adolescent, Adult, Childhood, Infancy"|"any age"|"Autosomal recessive"
166084|""|""|"Autosomal dominant, Autosomal recessive"
333|"Antenatal, Childhood, Infancy, Neonatal"|"early childhood"|"Autosomal recessive"
166081|"All ages"|"No data available"|"Autosomal dominant, Autosomal recessive"
349|"Childhood, Infancy"|""|"Autosomal recessive"
166090|""|""|"Autosomal dominant"
365|"Adolescent, Adult, Antenatal, Childhood, Infancy, Neonatal"|"any age"|"Autosomal recessive"
166087|""|""|"Autosomal dominant"
366|"Childhood, Infancy"|"any age"|"Autosomal recessive"
166093|""|""|"Autosomal recessive"
368|"Childhood, Infancy"|"normal life expectancy"|"Autosomal recessive"
166096|"Infancy, Neonatal"|"No data available"|"Autosomal recessive"
367|"All ages"|"any age"|"Autosomal recessive"
166100|"Infancy, Neonatal"|"normal life expectancy"|"Autosomal dominant"
371|"Adolescent, Adult, Childhood, Infancy"|""|"Autosomal recessive"
166105|"Adolescent, Infancy, Neonatal"|"No data available"|"Autosomal recessive"
369|"Childhood"|""|"Autosomal recessive"
447|"All ages"|"any age"|"Not applicable"
166108|"Infancy"|"No data available"|""
166113|"Adult"|""|"Not applicable"
535|"All ages"|"normal life expectancy"|"Multigenic/multifactorial"
166119|"Adolescent, Adult, Childhood"|"normal life expectancy"|"Autosomal dominant"
487|"Adolescent, Adult, Childhood, Infancy, Neonatal"|"any age"|"Autosomal recessive"
166260|"Childhood"|""|"Autosomal dominant"
166265|"Childhood"|""|"Autosomal dominant"
583|"Childhood"|"young Adult"|"Autosomal recessive"
166272|"Infancy, Neonatal"|""|""
576|"Antenatal, Neonatal"|"infantile, stillbirth"|"Autosomal recessive"
166277|"Childhood"|"No data available"|"Unknown"
812|"Adolescent, Childhood"|"adult"|"Autosomal recessive"
166282|""|""|"Autosomal dominant, Autosomal recessive"
578|"Infancy"|"adult"|"Autosomal recessive"
166286|"Infancy, Neonatal"|""|""
577|"Childhood"|"adult, young Adult"|"Autosomal recessive"
166291|"All ages"|""|"Not applicable"
166308|"Infancy"|"No data available"|""
166305|"Infancy"|"normal life expectancy"|""
2912|"Childhood"|"any age"|"Not applicable"
796|"Adolescent, Adult, Childhood, Infancy"|"adolescent, early childhood, late childhood"|"Autosomal recessive"
166409|"Adolescent, Adult, Childhood"|""|""
801|"All ages"|"elderly"|"Not applicable"
461|"Neonatal"|"normal life expectancy"|"X-linked recessive"
584|"Adolescent, Antenatal, Childhood, Infancy, Neonatal"|"adolescent, adult, embryofetal, late childhood, stillbirth, young Adult"|"Autosomal recessive"
166412|""|""|"Autosomal dominant"
881|"Antenatal, Childhood, Infancy, Neonatal"|"adult, elderly"|"Not applicable, Unknown"
95|"Adolescent, Childhood"|"adult"|"Autosomal recessive"
848|"Childhood, Infancy"|"adult"|"Autosomal dominant, Autosomal recessive"
846|"All ages"|"normal life expectancy"|"Autosomal recessive"
586|"All ages"|"adult, young Adult"|"Autosomal recessive"
262|"Adolescent, Adult, Childhood"|"young Adult"|"X-linked recessive"
261|"Childhood"|"adult"|"Autosomal dominant, Autosomal recessive, X-linked recessive"
550|"Adolescent, Adult, Childhood"|"adolescent, adult, elderly, late childhood, young Adult"|"Mitochondrial inheritance, Not applicable"
269|"All ages"|"normal life expectancy"|"Autosomal dominant"
480|"Adolescent, Adult, Childhood, Infancy"|"adolescent, adult, elderly, late childhood, normal life expectancy, young Adult"|"Autosomal recessive, Mitochondrial inheritance, Not applicable"
593|"Adult"|""|"Autosomal dominant, Autosomal recessive"
551|"Adult, Childhood"|"No data available"|"Mitochondrial inheritance"
597|"Childhood"|"normal life expectancy"|"Autosomal dominant"
607|"All ages"|"any age"|"Autosomal dominant, Autosomal recessive, Not applicable"
163746|"Infancy, Neonatal"|""|"Autosomal dominant"
684|"Adolescent, Adult, Childhood"|""|"Autosomal dominant"
163931|""|""|"Autosomal recessive"
273|"Adolescent, Adult, Antenatal, Childhood, Infancy, Neonatal"|"any age"|"Autosomal dominant"
163927|""|""|"Autosomal dominant, Autosomal recessive"
163937|"Infancy, Neonatal"|""|"X-linked dominant"
163934|"All ages"|""|"Not applicable"
614|"Adolescent, Adult, Childhood, Infancy"|"normal life expectancy"|"Autosomal dominant, Autosomal recessive"
163921|"All ages"|"any age"|""
163966|"Infancy, Neonatal"|""|"X-linked dominant"
163971|"Infancy, Neonatal"|""|"X-linked recessive"
163976|""|""|"X-linked recessive"
163979|""|""|"Unknown"
163956|"Infancy"|"normal life expectancy"|"X-linked recessive"
163961|"Infancy, Neonatal"|""|"X-linked recessive"
324|"Adolescent, Adult, Childhood"|"adult, elderly"|"X-linked dominant, X-linked recessive"
163985|"Neonatal"|"infantile"|"X-linked recessive"
778|"Infancy"|"adult"|"X-linked dominant"
72|"Infancy"|"normal life expectancy"|"Not applicable, Unknown"
307|"Adolescent"|"normal life expectancy"|"Autosomal dominant, Autosomal recessive, Multigenic/multifactorial"
1941|"Adolescent"|"No data available"|"Multigenic/multifactorial, Unknown"
892|"Adolescent, Adult, Childhood"|"elderly"|"Autosomal dominant"
731|"All ages"|"any age"|"Autosomal recessive"
164736|"Adolescent, Childhood"|""|"Autosomal dominant"
138|"Neonatal"|"adolescent, late childhood"|"Autosomal dominant, Unknown"
558|"All ages"|"any age"|"Autosomal dominant"
165805|"Childhood, Infancy"|"normal life expectancy"|"Autosomal dominant, Autosomal recessive"
803|"Adult"|"adult"|"Autosomal dominant, Autosomal recessive, Not applicable"
100|"Childhood, Infancy"|"adult"|"Autosomal recessive"
733|"Adult"|"adult"|"Autosomal dominant, Autosomal recessive"
399|"Adolescent, Adult, Childhood, Elderly"|"any age"|"Autosomal dominant"
165955|""|""|"Not applicable"
501|"Adolescent"|"young Adult"|"Autosomal recessive"
870|"Antenatal, Neonatal"|"any age"|"Not applicable"
165958|""|""|"Not applicable"
512|"Adolescent, Adult, Childhood, Infancy"|"adolescent, adult, early childhood, late childhood, young Adult"|"Autosomal recessive"
166011|"Infancy, Neonatal"|"No data available"|"Autosomal dominant"
567|"All ages"|"any age"|"Autosomal dominant"
166016|"Neonatal"|"No data available"|""
232|"All ages"|"adult, early childhood, infantile"|"Autosomal recessive"
536|""|""|"Not applicable"
166002|""|""|"Autosomal dominant"
534|"Neonatal"|"adult"|"X-linked recessive"
790|"Antenatal, Childhood, Infancy"|"any age"|"Autosomal dominant, Not applicable"
165991|""|""|"Autosomal dominant"
652|"All ages"|"adult"|"Autosomal dominant, Not applicable"
908|"Childhood, Infancy, Neonatal"|"normal life expectancy"|"X-linked dominant"
3099|"Childhood"|"adult"|"Not applicable"
739|"Antenatal, Neonatal"|"adolescent, adult, early childhood, infantile, late childhood, young Adult"|"Autosomal dominant, Not applicable"
47|"Childhood"|"normal life expectancy"|"Not applicable, X-linked recessive"
580|"Childhood"|"adult"|"X-linked recessive"
579|"All ages"|"adolescent, late childhood"|"Autosomal recessive"
905|"Adolescent, Adult, Childhood, Elderly"|""|"Autosomal recessive"
792|"Adolescent, Adult, Childhood, Infancy"|"normal life expectancy"|"X-linked recessive"
827|"Adolescent, Adult, Childhood, Elderly"|"normal life expectancy"|"Autosomal dominant, Autosomal recessive"
163531|"Adolescent, Adult, Childhood, Elderly"|""|"Multigenic/multifactorial"
906|"Infancy, Neonatal"|"any age"|"Autosomal dominant, Autosomal recessive, Not applicable, X-linked recessive"
904|"Antenatal, Neonatal"|""|"Autosomal dominant"
280|"Antenatal, Neonatal"|"adult"|"Multigenic/multifactorial, Not applicable"
162516|"Neonatal"|""|""
15|"Neonatal"|"elderly"|"Autosomal dominant"
96|"All ages"|"any age"|"Autosomal recessive"
101|"All ages"|""|"Autosomal dominant"
783|"Antenatal, Neonatal"|"any age"|"Autosomal dominant, Unknown"
163649|"Infancy, Neonatal"|""|"Autosomal recessive"
631|"Neonatal"|""|"Autosomal dominant, Autosomal recessive, X-linked recessive"
276|"Neonatal"|""|"X-linked recessive"
163654|"Infancy, Neonatal"|""|"Unknown"
481|"Adult"|"normal life expectancy"|"X-linked recessive"
664|"All ages"|"any age"|"X-linked recessive"
163668|"Infancy, Neonatal"|""|"Autosomal dominant"
163662|"Infancy, Neonatal"|"No data available"|"Autosomal dominant"
394|"Childhood"|""|"Autosomal recessive"
163665|"Childhood"|""|"Autosomal recessive"
508|"Antenatal, Neonatal"|"infantile"|"Autosomal recessive"
436|"All ages"|"embryofetal, infantile, normal life expectancy, stillbirth"|"Autosomal dominant, Autosomal recessive"
163596|"Antenatal, Neonatal"|"embryofetal, infantile, stillbirth"|"Autosomal recessive"
429|"Adolescent, Adult, Antenatal, Childhood, Infancy, Neonatal"|"normal life expectancy"|"Autosomal dominant"
437|"All ages"|""|"Autosomal dominant, Autosomal recessive, X-linked dominant"
104|"Adolescent, Adult"|"normal life expectancy"|"Mitochondrial inheritance"
2182|"Antenatal, Neonatal"|""|"X-linked recessive"
163634|"Childhood"|""|"Not applicable"
163717|""|""|"Autosomal dominant"
163708|"Childhood"|""|""
636|"Infancy, Neonatal"|"adult, elderly, young Adult"|"Autosomal dominant"
163703|"All ages"|"normal life expectancy"|"Not applicable"
649|"Antenatal, Neonatal"|"normal life expectancy"|"X-linked recessive"
163727|"Infancy"|"No data available"|""
163721|""|""|"Autosomal dominant, X-linked dominant"
163684|"Childhood"|"No data available"|"Autosomal recessive"
163681|"Infancy"|""|"Autosomal recessive"
379|"Adolescent, Adult, Childhood, Infancy"|"adult, young Adult"|"Autosomal recessive, X-linked recessive"
16|"Infancy"|"normal life expectancy"|"X-linked recessive"
163699|"All ages"|""|"Not applicable"
644|"Childhood"|"adult"|"Mitochondrial inheritance"
637|"All ages"|""|"Autosomal dominant"
163696|"Adolescent, Adult"|""|"Autosomal recessive"
181|"Infancy"|"normal life expectancy"|"X-linked recessive"
163693|"Infancy, Neonatal"|""|"Autosomal recessive"
163690|"Infancy, Neonatal"|""|"Autosomal recessive"
337|"Childhood"|"any age"|"Autosomal dominant, Not applicable"
377|"Adolescent, Adult"|"normal life expectancy"|"Autosomal dominant"
648|"Antenatal, Childhood, Infancy, Neonatal"|"adolescent, early childhood, embryofetal, infantile, late childhood"|"Autosomal dominant, Autosomal recessive"
281|"Antenatal"|"any age"|"Not applicable, Unknown"
752|"Adolescent, Neonatal"|""|"Autosomal recessive"
214|"All ages"|"normal life expectancy"|"Autosomal recessive, Semi-dominant"
510|"Infancy"|""|"X-linked recessive"
524|"All ages"|"any age"|"Autosomal dominant"
699|"Infancy, Neonatal"|"early childhood, infantile"|"Mitochondrial inheritance, Not applicable"
640|"Adolescent, Adult, Childhood, Elderly, Infancy"|"normal life expectancy"|"Autosomal dominant"
60|"All ages"|""|"Autosomal recessive"
895|"Neonatal"|"normal life expectancy"|"Autosomal dominant"
896|"Neonatal"|"normal life expectancy"|"Autosomal dominant, Autosomal recessive"
857|"All ages"|"any age"|"Autosomal dominant"
894|"Neonatal"|"normal life expectancy"|"Autosomal dominant"
682|"Childhood"|"normal life expectancy"|"Autosomal dominant"
800|"Infancy, Neonatal"|""|"Autosomal recessive"
628|"Neonatal"|"normal life expectancy"|"Autosomal recessive"
673|"All ages"|"any age"|"Not applicable"
681|"Adolescent, Childhood"|"normal life expectancy"|"Autosomal dominant"
126|"Antenatal"|"normal life expectancy"|"Autosomal dominant, Not applicable"
107|"All ages"|"normal life expectancy"|"Autosomal dominant"
774|"All ages"|"normal life expectancy"|"Autosomal dominant"
794|"Antenatal, Neonatal"|"normal life expectancy"|"Autosomal dominant"
710|"Antenatal, Neonatal"|"any age"|"Autosomal dominant"
2869|"Adolescent, Adult, Childhood"|"adult"|"Autosomal dominant"
893|"Neonatal"|""|"Autosomal dominant"
912|"Neonatal"|"early childhood"|"Autosomal recessive"
50|"Neonatal"|"any age"|"X-linked dominant"
53|"Childhood"|"normal life expectancy"|"Autosomal dominant"
14|"Childhood, Infancy"|"any age"|"Autosomal recessive"
52|"All ages"|"any age"|"Autosomal dominant"
167|"Childhood"|""|"Autosomal recessive"
195|"Antenatal, Neonatal"|"early childhood, normal life expectancy"|"Not applicable"
207|"Infancy, Neonatal"|"normal life expectancy"|"Autosomal dominant"
205|"Infancy, Neonatal"|"normal life expectancy"|"Autosomal recessive"
160148|"Adolescent, Adult, Childhood, Elderly"|"No data available"|"Not applicable"
201|"All ages"|"any age"|"Autosomal dominant"
192|"Childhood, Infancy, Neonatal"|"any age, young Adult"|"X-linked dominant"
2442|"Adolescent, Adult, Childhood, Infancy"|""|"X-linked recessive"
169808|"Infancy, Neonatal"|""|"X-linked recessive"
169802|"Infancy, Neonatal"|""|"X-linked recessive"
169805|"Infancy, Neonatal"|""|"X-linked recessive"
562|"Childhood"|"normal life expectancy"|"Not applicable"
565|"Neonatal"|"early childhood, infantile, late childhood"|"X-linked recessive"
2443|"All ages"|""|"Autosomal recessive"
474|"Antenatal, Neonatal"|"any age"|"Autosomal recessive"
540|"Adolescent, Infancy"|""|"Autosomal recessive"
568|"Neonatal"|""|"X-linked recessive"
564|"Antenatal"|"embryofetal, infantile, stillbirth"|"Autosomal recessive"
289|"Antenatal, Neonatal"|"any age"|"Autosomal recessive"
258|"Neonatal"|"adolescent, late childhood"|"Autosomal recessive"
1247|"All ages"|""|"Not applicable"
112|"Adolescent, Adult, Antenatal, Childhood, Infancy, Neonatal"|"normal life expectancy"|"Autosomal dominant, Autosomal recessive, X-linked recessive"
1646|"Adult"|"normal life expectancy"|"Not applicable, Y-linked"
169464|"Infancy, Neonatal"|""|"Autosomal recessive"
99|"All ages"|"adult, elderly, normal life expectancy"|"Autosomal dominant"
116|"Antenatal, Neonatal"|"adolescent, late childhood"|"Autosomal dominant, Unknown"
87|"Antenatal, Neonatal"|"any age"|"Autosomal dominant"
97|"Childhood"|"normal life expectancy"|"Autosomal dominant"
313|"Neonatal"|"early childhood"|"Autosomal recessive"
169799|"Infancy, Neonatal"|""|"X-linked recessive"
169796|"Infancy, Neonatal"|""|"X-linked recessive"
169793|"Infancy, Neonatal"|""|"X-linked recessive"
1000|"Adult"|"normal life expectancy"|"X-linked recessive"
999|"Neonatal"|"No data available"|"Autosomal recessive"
171430|"Infancy, Neonatal"|"adolescent, late childhood"|"Autosomal recessive"
171433|"Neonatal"|"any age"|"Autosomal dominant, Autosomal recessive"
171436|"Neonatal"|"normal life expectancy"|"Autosomal dominant, Autosomal recessive"
171439|"Childhood"|""|"Autosomal dominant"
55|"Neonatal"|"normal life expectancy"|"Autosomal recessive"
171442|"Adult"|"adult"|"Not applicable"
171445|""|""|"Autosomal dominant"
171607|"Adolescent, Adult, Childhood"|""|"X-linked recessive"
2771|"Childhood, Infancy, Neonatal"|""|"Autosomal recessive"
171612|"All ages"|""|"Autosomal dominant"
171617|"Childhood"|"No data available"|"Autosomal dominant"
1349|"Adult, Childhood"|"adult"|"Mitochondrial inheritance"
171622|"Childhood"|"No data available"|"Autosomal recessive"
171629|"Adolescent, Childhood"|"adolescent, adult"|"Autosomal recessive"
861|"Neonatal"|"normal life expectancy"|"Autosomal dominant, Autosomal recessive"
308|"Adolescent, Childhood"|""|"Autosomal recessive"
199|"Antenatal, Neonatal"|"normal life expectancy"|"Autosomal dominant, Not applicable, X-linked recessive"
2162|"Antenatal, Neonatal"|"any age"|"Autosomal recessive, Multigenic/multifactorial, Not applicable, Oligogenic, X-linked dominant"
930|"All ages"|"normal life expectancy"|"Autosomal recessive, Not applicable"
998|"Neonatal"|"normal life expectancy"|"X-linked recessive"
1727|"All ages"|""|"Autosomal dominant"
169079|"Infancy, Neonatal"|"any age"|"Autosomal recessive"
1716|"Antenatal, Neonatal"|""|""
1715|"Adolescent, Adult, Childhood, Infancy"|"No data available"|""
3380|"Antenatal, Neonatal"|"early childhood"|"Not applicable, Unknown"
168984|"Infancy, Neonatal"|""|"Unknown"
1707|"Antenatal, Neonatal"|""|""
3378|"Antenatal, Neonatal"|"early childhood, infantile"|"Not applicable, Unknown"
169100|"Infancy"|""|"Autosomal recessive"
169105|"Adult"|"Not yet documented"|""
169090|"Infancy, Neonatal"|"early childhood"|"Autosomal recessive"
236|"Antenatal, Neonatal"|""|""
169095|"Infancy, Neonatal"|""|"Autosomal dominant, Autosomal recessive"
169082|"Infancy"|"adult, infantile"|"Autosomal recessive"
169085|"Infancy, Neonatal"|""|"Autosomal recessive"
168829|"Adult"|"normal life expectancy"|"Unknown"
168816|"Adult"|"normal life expectancy"|"Unknown"
753|"Adolescent, Childhood, Infancy, Neonatal"|"normal life expectancy"|"Autosomal recessive"
868|"Neonatal"|"early childhood, infantile"|"Autosomal recessive"
168811|"Adult"|"adult"|"Multigenic/multifactorial, Not applicable"
218|"Adolescent, Adult, Childhood"|"normal life expectancy"|"Autosomal dominant"
168796|"Adult"|""|"Autosomal dominant"
1465|"Neonatal"|"adolescent, late childhood"|"Autosomal dominant"
168782|"Childhood"|""|"Not applicable"
1642|"Infancy, Neonatal"|""|""
8|"All ages"|"normal life expectancy"|"Not applicable, Unknown"
1636|"Antenatal, Neonatal"|""|""
168956|"All ages"|"any age"|"Not applicable, Unknown"
1600|"Antenatal, Neonatal"|"normal life expectancy"|"Not applicable"
1598|"Neonatal"|"No data available"|"Not applicable, Unknown"
168940|"Adolescent, Adult, Childhood"|""|"Not applicable"
2773|"Infancy, Neonatal"|"No data available"|"Unknown"
2772|"Antenatal, Neonatal"|"infantile, stillbirth"|"Autosomal recessive"
2609|"All ages"|"any age"|"Autosomal recessive, Mitochondrial inheritance, X-linked dominant"
626|"Infancy, Neonatal"|"normal life expectancy"|"Not applicable"
773|"Adolescent, Adult, Childhood"|"normal life expectancy"|"Autosomal recessive"
11|"Neonatal"|""|""
169154|"Infancy"|"infantile"|"Autosomal recessive"
370|"All ages"|""|"Autosomal recessive, X-linked recessive"
169160|"Infancy"|"infantile"|"Autosomal recessive"
385|"Adolescent, Adult, Childhood, Infancy"|"No data available"|"Autosomal dominant, Autosomal recessive, X-linked dominant"
169157|"Infancy"|"early childhood, infantile"|"Autosomal recessive"
1947|"Childhood"|""|"Autosomal recessive"
169142|"Infancy, Neonatal"|""|"Autosomal recessive"
352|"Childhood, Infancy, Neonatal"|""|"Autosomal recessive"
596|"Antenatal, Neonatal"|"early childhood"|"X-linked recessive"
610|"Childhood, Infancy"|"normal life expectancy"|"Autosomal dominant, Autosomal recessive"
169186|"Childhood, Infancy, Neonatal"|""|"Autosomal recessive"
464|"Neonatal"|"normal life expectancy"|"X-linked dominant"
3307|"Antenatal, Neonatal"|""|"Not applicable"
169189|"Adolescent, Adult, Childhood, Infancy, Neonatal"|""|"Autosomal dominant"
44|"Childhood, Infancy, Neonatal"|"adolescent, late childhood"|"Autosomal recessive"
56|"Adult, Infancy"|"normal life expectancy"|"Autosomal recessive"
963|"Adolescent, Adult, Childhood, Elderly, Infancy"|"normal life expectancy"|"Not applicable"
1059|"Childhood"|"any age"|"Autosomal dominant, Not applicable"
1006|"Childhood, Infancy"|"No data available"|"Unknown"
1046|"Neonatal"|"infantile"|"Unknown"
22|"Childhood, Infancy, Neonatal"|"adult"|"Autosomal recessive"
29|"Childhood, Infancy, Neonatal"|""|"Autosomal recessive"
245|"Antenatal, Neonatal"|"normal life expectancy"|"Autosomal dominant, Autosomal recessive, Not applicable"
30|"Infancy, Neonatal"|"any age"|"Autosomal recessive"
36|"Neonatal"|"No data available"|"Autosomal recessive"
915|"Childhood"|"any age"|"Autosomal dominant, Autosomal recessive, X-linked recessive"
2614|"Childhood, Infancy, Neonatal"|"No data available"|"Autosomal dominant"
33|"Adolescent, Adult, Childhood, Infancy, Neonatal"|""|"Autosomal recessive"
819|"Adolescent, Adult, Childhood, Infancy, Neonatal"|"normal life expectancy"|"Autosomal dominant"
3085|"Childhood"|""|"Autosomal recessive"
9|"Infancy, Neonatal"|""|""
168615|"Adolescent"|"normal life expectancy"|"Autosomal dominant"
168612|"Antenatal, Neonatal"|"normal life expectancy"|""
1442|"Antenatal, Infancy, Neonatal"|""|""
168621|"Infancy, Neonatal"|"normal life expectancy"|""
1452|"Neonatal"|"normal life expectancy"|"Autosomal dominant, Not applicable"
1455|"Childhood"|""|"Autosomal dominant"
168629|""|""|"Autosomal dominant, Autosomal recessive"
168624|"Infancy, Neonatal"|""|"Autosomal dominant"
193|"Antenatal, Infancy, Neonatal"|"normal life expectancy"|"Autosomal recessive"
1488|"Neonatal"|"No data available"|"Autosomal recessive"
200|"Antenatal"|""|"Not applicable"
168632|""|""|"Autosomal dominant"
1334|"Childhood, Infancy"|""|"Autosomal dominant, Autosomal recessive"
168583|"Infancy, Neonatal"|""|"Autosomal recessive"
1369|"Infancy, Neonatal"|"adolescent, adult, early childhood, infantile, late childhood, young Adult"|"Autosomal recessive"
168577|"Infancy, Neonatal"|"No data available"|"Autosomal dominant"
168593|"Infancy, Neonatal"|"early childhood, infantile"|"Autosomal recessive"
