"Parent_OrphaCode"|"OrphaCode"|"Classification"|"Root_OrphaCode"
0|165711|"Orphanet classification of rare abdominal surgical diseases"|165711
165711|622099|"Orphanet classification of rare abdominal surgical diseases"|165711
165711|449400|"Orphanet classification of rare abdominal surgical diseases"|165711
165711|438274|"Orphanet classification of rare abdominal surgical diseases"|165711
165711|313800|"Orphanet classification of rare abdominal surgical diseases"|165711
165711|306553|"Orphanet classification of rare abdominal surgical diseases"|165711
165711|293208|"Orphanet classification of rare abdominal surgical diseases"|165711
165711|238593|"Orphanet classification of rare abdominal surgical diseases"|165711
165711|168803|"Orphanet classification of rare abdominal surgical diseases"|165711
168803|168807|"Orphanet classification of rare abdominal surgical diseases"|165711
168807|168829|"Orphanet classification of rare abdominal surgical diseases"|165711
168807|168816|"Orphanet classification of rare abdominal surgical diseases"|165711
168807|168811|"Orphanet classification of rare abdominal surgical diseases"|165711
168807|83469|"Orphanet classification of rare abdominal surgical diseases"|165711
168803|71274|"Orphanet classification of rare abdominal surgical diseases"|165711
168803|26790|"Orphanet classification of rare abdominal surgical diseases"|165711
165711|98043|"Orphanet classification of rare abdominal surgical diseases"|165711
98043|108979|"Orphanet classification of rare abdominal surgical diseases"|165711
108979|527468|"Orphanet classification of rare abdominal surgical diseases"|165711
108979|480528|"Orphanet classification of rare abdominal surgical diseases"|165711
108979|314432|"Orphanet classification of rare abdominal surgical diseases"|165711
108979|280403|"Orphanet classification of rare abdominal surgical diseases"|165711
108979|230839|"Orphanet classification of rare abdominal surgical diseases"|165711
108979|96170|"Orphanet classification of rare abdominal surgical diseases"|165711
108979|209|"Orphanet classification of rare abdominal surgical diseases"|165711
209|363705|"Orphanet classification of rare abdominal surgical diseases"|165711
209|314718|"Orphanet classification of rare abdominal surgical diseases"|165711
209|221145|"Orphanet classification of rare abdominal surgical diseases"|165711
209|217335|"Orphanet classification of rare abdominal surgical diseases"|165711
209|90350|"Orphanet classification of rare abdominal surgical diseases"|165711
90350|357064|"Orphanet classification of rare abdominal surgical diseases"|165711
90350|357058|"Orphanet classification of rare abdominal surgical diseases"|165711
357058|357074|"Orphanet classification of rare abdominal surgical diseases"|165711
357058|2834|"Orphanet classification of rare abdominal surgical diseases"|165711
209|90349|"Orphanet classification of rare abdominal surgical diseases"|165711
209|90348|"Orphanet classification of rare abdominal surgical diseases"|165711
209|198|"Orphanet classification of rare abdominal surgical diseases"|165711
209|3342|"Orphanet classification of rare abdominal surgical diseases"|165711
209|3134|"Orphanet classification of rare abdominal surgical diseases"|165711
209|2962|"Orphanet classification of rare abdominal surgical diseases"|165711
2962|293633|"Orphanet classification of rare abdominal surgical diseases"|165711
2962|35664|"Orphanet classification of rare abdominal surgical diseases"|165711
209|2078|"Orphanet classification of rare abdominal surgical diseases"|165711
108979|3164|"Orphanet classification of rare abdominal surgical diseases"|165711
108979|2847|"Orphanet classification of rare abdominal surgical diseases"|165711
108979|2736|"Orphanet classification of rare abdominal surgical diseases"|165711
108979|2470|"Orphanet classification of rare abdominal surgical diseases"|165711
108979|2369|"Orphanet classification of rare abdominal surgical diseases"|165711
108979|2322|"Orphanet classification of rare abdominal surgical diseases"|165711
108979|2143|"Orphanet classification of rare abdominal surgical diseases"|165711
108979|2141|"Orphanet classification of rare abdominal surgical diseases"|165711
108979|2059|"Orphanet classification of rare abdominal surgical diseases"|165711
108979|1335|"Orphanet classification of rare abdominal surgical diseases"|165711
108979|373|"Orphanet classification of rare abdominal surgical diseases"|165711
108979|287|"Orphanet classification of rare abdominal surgical diseases"|165711
108979|884|"Orphanet classification of rare abdominal surgical diseases"|165711
108979|3380|"Orphanet classification of rare abdominal surgical diseases"|165711
108979|3378|"Orphanet classification of rare abdominal surgical diseases"|165711
108979|199|"Orphanet classification of rare abdominal surgical diseases"|165711
108979|280|"Orphanet classification of rare abdominal surgical diseases"|165711
108979|496693|"Orphanet classification of rare abdominal surgical diseases"|165711
98043|108977|"Orphanet classification of rare abdominal surgical diseases"|165711
108977|490|"Orphanet classification of rare abdominal surgical diseases"|165711
108977|2368|"Orphanet classification of rare abdominal surgical diseases"|165711
108977|322|"Orphanet classification of rare abdominal surgical diseases"|165711
322|93930|"Orphanet classification of rare abdominal surgical diseases"|165711
322|93929|"Orphanet classification of rare abdominal surgical diseases"|165711
322|93928|"Orphanet classification of rare abdominal surgical diseases"|165711
108977|660|"Orphanet classification of rare abdominal surgical diseases"|165711
108977|2140|"Orphanet classification of rare abdominal surgical diseases"|165711
165711|98041|"Orphanet classification of rare abdominal surgical diseases"|165711
98041|108973|"Orphanet classification of rare abdominal surgical diseases"|165711
108973|527468|"Orphanet classification of rare abdominal surgical diseases"|165711
108973|556955|"Orphanet classification of rare abdominal surgical diseases"|165711
108973|97548|"Orphanet classification of rare abdominal surgical diseases"|165711
108973|2063|"Orphanet classification of rare abdominal surgical diseases"|165711
108973|564|"Orphanet classification of rare abdominal surgical diseases"|165711
108973|52|"Orphanet classification of rare abdominal surgical diseases"|165711
52|261629|"Orphanet classification of rare abdominal surgical diseases"|165711
52|261619|"Orphanet classification of rare abdominal surgical diseases"|165711
52|261600|"Orphanet classification of rare abdominal surgical diseases"|165711
108973|244283|"Orphanet classification of rare abdominal surgical diseases"|165711
108973|293864|"Orphanet classification of rare abdominal surgical diseases"|165711
108973|294415|"Orphanet classification of rare abdominal surgical diseases"|165711
98041|108971|"Orphanet classification of rare abdominal surgical diseases"|165711
108971|157769|"Orphanet classification of rare abdominal surgical diseases"|165711
108971|101063|"Orphanet classification of rare abdominal surgical diseases"|165711
108971|457083|"Orphanet classification of rare abdominal surgical diseases"|165711
108971|101351|"Orphanet classification of rare abdominal surgical diseases"|165711
108971|53035|"Orphanet classification of rare abdominal surgical diseases"|165711
108971|30391|"Orphanet classification of rare abdominal surgical diseases"|165711
108971|674|"Orphanet classification of rare abdominal surgical diseases"|165711
108971|675|"Orphanet classification of rare abdominal surgical diseases"|165711
108971|2805|"Orphanet classification of rare abdominal surgical diseases"|165711
108971|2040|"Orphanet classification of rare abdominal surgical diseases"|165711
165711|98039|"Orphanet classification of rare abdominal surgical diseases"|165711
98039|97945|"Orphanet classification of rare abdominal surgical diseases"|165711
