"OrphaCode"|"Gene_Symbol"|"Relationship_Type"|"Status"
166024|"KIF7"|"Disease-causing germline mutation(s) in"|"Assessed"
93|"AGA"|"Disease-causing germline mutation(s) in"|"Assessed"
166035|"CWC27"|"Disease-causing germline mutation(s) in"|"Assessed"
585|"SUMF1"|"Disease-causing germline mutation(s) in"|"Assessed"
118|"MANBA"|"Disease-causing germline mutation(s) in"|"Assessed"
166063|"TSEN54"|"Disease-causing germline mutation(s) in"|"Assessed"
166078|"VWF"|"Disease-causing germline mutation(s) in"|"Assessed"
206|"IL6"|"Modifying germline mutation in"|"Assessed"
206|"IL23R"|"Major susceptibility factor in"|"Assessed"
206|"NOD2"|"Major susceptibility factor in"|"Assessed"
206|"NCF4"|"Major susceptibility factor in"|"Assessed"
206|"ATG16L1"|"Major susceptibility factor in"|"Assessed"
206|"IRF5"|"Major susceptibility factor in"|"Assessed"
206|"IRGM"|"Major susceptibility factor in"|"Assessed"
206|"PTPN2"|"Major susceptibility factor in"|"Assessed"
166073|"RARS2"|"Disease-causing germline mutation(s) in"|"Assessed"
166084|"VWF"|"Disease-causing germline mutation(s) in"|"Assessed"
333|"ASAH1"|"Disease-causing germline mutation(s) in"|"Assessed"
349|"FUCA1"|"Disease-causing germline mutation(s) in"|"Assessed"
166090|"VWF"|"Disease-causing germline mutation(s) in"|"Assessed"
166087|"VWF"|"Disease-causing germline mutation(s) in"|"Assessed"
366|"AGL"|"Disease-causing germline mutation(s) in"|"Assessed"
166093|"VWF"|"Disease-causing germline mutation(s) in"|"Assessed"
368|"PYGM"|"Disease-causing germline mutation(s) in"|"Assessed"
166096|"VWF"|"Disease-causing germline mutation(s) in"|"Assessed"
166100|"COL2A1"|"Candidate gene tested in"|"Not yet assessed"
166100|"COL11A2"|"Disease-causing germline mutation(s) in"|"Assessed"
371|"PFKM"|"Disease-causing germline mutation(s) in"|"Assessed"
166105|"FASTKD2"|"Disease-causing germline mutation(s) (loss of function) in"|"Assessed"
369|"PYGL"|"Disease-causing germline mutation(s) in"|"Assessed"
447|"PIGA"|"Disease-causing somatic mutation(s) in"|"Assessed"
166108|"KCNK9"|"Disease-causing germline mutation(s) in"|"Assessed"
166119|"LEMD3"|"Disease-causing germline mutation(s) (loss of function) in"|"Assessed"
166260|"DSPP"|"Disease-causing germline mutation(s) in"|"Assessed"
166265|"DSPP"|"Disease-causing germline mutation(s) in"|"Assessed"
166272|"TRIP11"|"Disease-causing germline mutation(s) in"|"Assessed"
576|"GNPTAB"|"Disease-causing germline mutation(s) (loss of function) in"|"Assessed"
812|"NEU1"|"Disease-causing germline mutation(s) in"|"Assessed"
166282|"SCN5A"|"Disease-causing germline mutation(s) in"|"Assessed"
166282|"HCN4"|"Disease-causing germline mutation(s) in"|"Assessed"
166282|"MYH6"|"Major susceptibility factor in"|"Assessed"
578|"MCOLN1"|"Disease-causing germline mutation(s) (loss of function) in"|"Assessed"
166286|"GJB2"|"Disease-causing somatic mutation(s) in"|"Assessed"
771|"IL23R"|"Major susceptibility factor in"|"Assessed"
771|"NOD2"|"Major susceptibility factor in"|"Assessed"
771|"IRF5"|"Major susceptibility factor in"|"Assessed"
771|"PTPN2"|"Major susceptibility factor in"|"Assessed"
771|"ABCB1"|"Major susceptibility factor in"|"Assessed"
461|"FLG"|"Disease-causing germline mutation(s) in"|"Assessed"
461|"STS"|"Disease-causing germline mutation(s) in"|"Assessed"
856|"SLITRK1"|"Major susceptibility factor in"|"Assessed"
856|"IMMP2L"|"Major susceptibility factor in"|"Assessed"
856|"HDC"|"Major susceptibility factor in"|"Assessed"
584|"GUSB"|"Disease-causing germline mutation(s) in"|"Assessed"
825|"HLA-B"|"Major susceptibility factor in"|"Assessed"
166412|"SLC1A1"|"Disease-causing germline mutation(s) in"|"Assessed"
95|"FXN"|"Disease-causing germline mutation(s) (loss of function) in"|"Assessed"
586|"SERPINA1"|"Modifying germline mutation in"|"Assessed"
586|"SLC26A9"|"Modifying germline mutation in"|"Assessed"
586|"SLC6A14"|"Modifying germline mutation in"|"Assessed"
586|"SLC9A3"|"Modifying germline mutation in"|"Assessed"
586|"CEACAM3"|"Modifying germline mutation in"|"Assessed"
586|"CEACAM6"|"Modifying germline mutation in"|"Assessed"
586|"EDNRA"|"Modifying germline mutation in"|"Assessed"
586|"GSTM3"|"Modifying germline mutation in"|"Assessed"
586|"HMOX1"|"Modifying germline mutation in"|"Assessed"
586|"GCLC"|"Modifying germline mutation in"|"Assessed"
586|"HFE"|"Modifying germline mutation in"|"Assessed"
586|"CFTR"|"Disease-causing germline mutation(s) (loss of function) in"|"Assessed"
586|"TGFB1"|"Modifying germline mutation in"|"Assessed"
586|"DCTN4"|"Modifying germline mutation in"|"Assessed"
586|"CLCA4"|"Modifying germline mutation in"|"Assessed"
586|"STX1A"|"Modifying germline mutation in"|"Assessed"
586|"KCNN4"|"Modifying germline mutation in"|"Assessed"
586|"MIF"|"Modifying germline mutation in"|"Assessed"
586|"SLC11A1"|"Modifying germline mutation in"|"Assessed"
550|"MT-TQ"|"Candidate gene tested in"|"Not yet assessed"
550|"MT-CO1"|"Disease-causing germline mutation(s) in"|"Assessed"
550|"MT-CO2"|"Disease-causing germline mutation(s) in"|"Assessed"
550|"MT-CO3"|"Candidate gene tested in"|"Not yet assessed"
550|"MT-ND1"|"Disease-causing germline mutation(s) in"|"Assessed"
550|"MT-ND4"|"Disease-causing germline mutation(s) in"|"Assessed"
550|"MT-ND5"|"Disease-causing germline mutation(s) in"|"Assessed"
550|"MT-ND6"|"Disease-causing germline mutation(s) in"|"Assessed"
550|"MT-TL1"|"Disease-causing germline mutation(s) in"|"Assessed"
550|"MT-TW"|"Disease-causing germline mutation(s) in"|"Assessed"
550|"MT-TH"|"Candidate gene tested in"|"Not yet assessed"
550|"MT-TS1"|"Disease-causing germline mutation(s) in"|"Assessed"
550|"MT-TS2"|"Candidate gene tested in"|"Not yet assessed"
550|"MT-TF"|"Disease-causing germline mutation(s) in"|"Assessed"
269|"DNMT3B"|"Modifying germline mutation in"|"Assessed"
269|"DUX4"|"Candidate gene tested in"|"Not yet assessed"
269|"DUX4L1"|"Candidate gene tested in"|"Not yet assessed"
269|"FRG1"|"Candidate gene tested in"|"Not yet assessed"
269|"SMCHD1"|"Disease-causing germline mutation(s) in"|"Assessed"
