"OrphaCode"|"Flag"
166024|1
58|1
166032|1
61|1
166029|1
166038|512
166038|1
93|1
166035|1
585|1
118|1
166068|8192
166068|256
166068|1
141|1
166063|1
166078|1
206|8192
206|1
206|32
166073|1
213|1
166084|1
333|1
166081|1
349|1
166090|1
365|1
166087|1
366|1
166093|1
368|1
166096|1
367|1
166100|1
371|1
166105|1
369|1
447|1
166108|1
166113|1
535|1
166119|1
487|1
166260|1
166265|1
583|1
166272|1
576|1
166277|1
812|1
166282|1
578|1
166286|1
577|1
166291|1
166295|1
771|8192
771|1
771|32
166308|1
166305|1
2912|1
166302|1
166299|1
796|1
166409|1
801|1
166311|1
461|1
166421|1
856|8192
856|1
856|32
166418|1
166415|1
584|1
825|8192
825|1
825|32
166412|1
166433|1
166430|1
881|1
166427|1
166424|1
95|1
166466|1
848|1
166469|1
846|1
166457|8192
166457|16
586|1
166463|1
262|1
166478|1
166481|1
166472|1
166475|1
261|1
166490|1
166484|1
166487|1
550|1
269|1
480|1
163898|8192
163898|16
593|1
163895|8192
163895|16
163908|8192
163908|16
163903|8192
163903|16
551|1
597|1
607|1
163892|8192
163892|1024
163746|1
684|1
163931|1
273|1
163927|1
163937|1
163934|1
163918|8192
163918|16
163914|8192
163914|16
163924|8192
163924|16
614|1
163921|1
163966|1
163971|1
163976|1
163979|1
163953|8192
163953|256
163953|1
163956|1
163961|1
164004|1
164726|1
324|1
163982|8192
163982|256
163982|1
163985|1
778|1
163988|8192
163988|16
164001|1
72|1
165661|1
307|1
165658|1
165655|1
165652|1
1941|1
892|1
164823|1
731|1
164736|1
138|1
558|1
165805|1
803|1
165711|128
165711|1
802|8192
802|1
802|32
165707|1
100|1
165704|1
733|1
165961|8192
165961|16
399|1
165955|1
501|1
870|1
165958|1
512|1
166011|1
567|1
166016|1
232|1
165994|8192
165994|256
165994|1
536|1
166002|1
534|1
165988|1
790|1
165991|1
652|1
165985|1
908|1
3099|1
739|1
47|1
580|1
579|1
905|1
163209|1
792|1
163528|8192
163528|16
383|8192
383|256
383|1
163525|1
827|1
163582|1
163531|1
906|1
904|1
162521|8192
162521|16
280|1
162516|1
15|1
96|1
162526|1
101|1
783|1
163649|1
631|1
276|1
163654|1
481|1
664|1
163668|512
163668|1
163673|8192
163673|256
163673|1
163662|512
163662|1
394|1
163665|512
163665|1
508|1
163591|1
436|1
163596|1
163585|1
429|1
163588|1
437|1
163637|1
104|1
163631|1
2182|1
163634|1
163717|1
163708|1
636|1
163703|1
649|1
163727|1
163721|1
163684|1
163681|1
379|1
163678|8192
163678|16
16|1
163699|1
644|1
637|1
163696|1
181|1
163693|1
163690|1
337|1
3444|8192
3444|256
3444|1
377|1
648|1
281|1
752|1
214|1
510|1
524|1
699|1
640|1
60|1
895|1
896|1
3140|8192
3140|1
3140|32
857|1
894|1
682|1
800|1
706|8192
706|1
706|32
628|1
673|1
681|1
126|1
107|1
774|1
794|1
710|1
2869|1
862|8192
862|1
862|32
893|1
912|1
50|1
53|1
14|1
52|1
167|1
195|1
207|1
205|1
160148|1
201|1
192|1
2442|1
169808|1
169826|1
169802|1
169805|1
562|1
565|1
2443|1
555|8192
555|1
555|32
474|1
540|1
568|1
564|1
289|1
258|1
1247|1
112|1
169446|8192
169446|16
169443|1
1646|1
169464|1
99|1
116|1
87|1
169618|1
169615|1
97|1
169467|1
313|1
169799|1
169796|1
169793|1
406|8192
406|1
406|32
171220|1
1000|1
999|1
171430|1
171433|1
171436|1
171439|1
55|1
171442|1
171445|1
171607|1
2771|1
106|8192
106|1
106|32
171612|1
171617|1
1349|1
171622|1
171629|1
357|8192
357|1
357|32
861|1
308|1
1991|1
199|1
171201|8192
171201|16
2162|1
930|1
171215|8192
171215|16
998|1
171208|8192
171208|16
1727|1
169079|1
1716|1
1715|1
3380|1
168984|1
1707|1
168999|1
3378|1
168972|8192
168972|256
168972|1
169110|1
169100|1
169105|1
169090|1
236|1
169095|1
169082|1
169085|1
168829|1
168816|1
753|1
868|1
168811|1
168807|1
168803|1
218|1
168796|1
1465|1
168782|1
1642|1
168966|1
168960|1
8|1
1636|1
168956|1
168953|1
1600|1
168950|1
168947|1
1598|1
168943|1
168940|1
2773|512
2773|1
2772|512
2772|1
2609|1
169361|1
626|1
773|1
11|1
169154|1
370|1
169150|1
169160|1
385|1
169157|1
169139|1
1947|1
169147|1
169142|1
352|1
596|1
169349|1
169346|1
169355|1
610|1
169186|1
464|1
3307|1
169163|1
484|8192
484|1
484|32
169189|1
3084|8192
3084|256
3084|1
44|1
56|1
963|1
1059|1
1006|512
1006|1
1046|512
1046|1
22|1
29|1
245|1
30|1
36|1
915|1
2614|1
33|1
168194|1
924|8192
924|1
924|32
819|1
3085|1
9|1
168615|1
168612|1
1442|1
168621|1
1452|1
1455|1
168629|1
168624|1
193|1
168778|1
1488|512
1488|1
200|1
168632|1
1334|1
168583|1
1369|1
168577|1
168593|1
1406|512
1406|1
168588|1
168601|1
1414|1
168598|1
1417|8192
1417|16
168609|8192
168609|256
168609|1
168606|1
1155|8192
1155|16
168549|1
168552|1
1154|1
168555|1
1162|8192
1162|1
1162|32
168558|1
168563|1
124|1
1232|8192
1232|1
1232|32
168566|1
1310|1
168569|1
168572|1
125|1
90|1
168443|512
168443|1
1065|1
168448|8192
168448|256
168448|1
168451|1
1135|1
168454|1
1146|1
1143|1
168486|1
168491|1
168544|512
168544|1
1147|1
246|1
1819|8192
1819|16
1770|512
1770|1
1775|1
1764|1
235|1
239|1
167762|1
1672|1
167759|1
833|1
167714|1
167635|1
765|1
395|1
408|1
148|1
147|1
23|1
45|1
