"Parent_OrphaCode"|"OrphaCode"
0|165711
165711|622099
165711|449400
165711|438274
165711|313800
165711|306553
165711|293208
165711|238593
165711|168803
168803|168807
168807|168829
168807|168816
168807|168811
168807|83469
168803|71274
168803|26790
165711|98043
98043|108979
108979|527468
108979|480528
108979|314432
108979|280403
108979|230839
108979|96170
108979|209
209|363705
209|314718
209|221145
209|217335
209|90350
90350|357064
90350|357058
357058|357074
357058|2834
209|90349
209|90348
209|198
209|3342
209|3134
209|2962
2962|293633
2962|35664
209|2078
108979|3164
108979|2847
108979|2736
108979|2470
108979|2369
108979|2322
108979|2143
108979|2141
108979|2059
108979|1335
108979|373
108979|287
108979|884
108979|3380
108979|3378
108979|199
108979|280
108979|496693
98043|108977
108977|490
108977|2368
108977|322
322|93930
322|93929
322|93928
108977|660
108977|2140
165711|98041
98041|108973
108973|527468
108973|556955
108973|97548
108973|2063
108973|564
108973|52
52|261629
52|261619
52|261600
108973|244283
108973|293864
108973|294415
98041|108971
108971|157769
108971|101063
108971|457083
108971|101351
108971|53035
108971|30391
108971|674
108971|675
108971|2805
108971|2040
165711|98039
98039|97945
97945|171220
97945|108969
108969|506307
108969|527468
108969|436252
108969|293864
108969|3405
108969|1759
108969|2464
108969|557866
557866|2153
557866|2152
2152|261552
2152|261537
557866|2150
557866|897
557866|163746
557866|99803
557866|66629
557866|110
557866|2155
97945|108967
108967|1203
108967|508410
108967|2301
108967|238
108967|1198
108967|1201
108967|2300
98039|97944
97944|108965
108965|2538
108965|1305
1305|391646
1305|391641
97944|108963
108963|199293
108963|1203
98039|96346
96346|117573
117573|93270
117573|611201
117573|1305
117573|496751
117573|2345
117573|870
117573|93932
117573|444941
444941|1768
444941|3027
444941|3169
117573|217266
117573|140952
117573|96185
117573|96176
117573|93929
117573|93293
93293|261647
93293|261638
117573|93271
117573|83628
117573|75857
117573|782
117573|2745
117573|3412
117573|3138
117573|2973
117573|2578
117573|2556
117573|2408
117573|2322
117573|2315
117573|672
117573|1834
117573|1756
117573|1436
117573|1381
117573|1225
117573|1590
117573|1552
117573|2052
117573|887
117573|884
117573|3380
117573|3378
117573|195
117573|857
117573|567
96346|557
557|601033
557|601028
557|601023
557|601018
557|601013
557|601008
557|601002
557|600998
557|600993
557|600984
557|600961
600961|600975
600961|600966
557|600952
98039|88993
88993|108961
108961|514352
108961|77298
108961|1305
108961|929
108961|869
108961|887
88993|108959
108959|454750
108959|2004
2004|280205
2004|93940
2004|93939
2004|93938
2004|93941
108959|91358
108959|91357
91357|100048
91357|100047
108959|1199
165711|93292
165711|71273
165711|49041
165711|1160
165711|228113
0|98050
98050|369992
98050|98052
98052|31740
31740|99909
99909|99908
99909|99906
31740|99907
98052|2902
98052|1164
98050|79384
79384|493348
79384|493342
79384|64745
79384|2483
98050|658
658|91385
91385|100057
91385|528663
528663|100056
528663|100055
658|91378
91378|528647
528647|599418
528647|537072
528647|100054
91378|528623
528623|100051
528623|100050
0|93419
93419|399158
399158|521127
399158|399164
399164|399302
399302|399307
399302|86820
399164|399169
399169|399293
399169|399185
399185|217454
217454|217467
217454|82
217454|745
217454|743
399185|77261
399185|77259
399185|232
399169|399180
399169|399175
399158|251262
399158|2764
399158|444316
399158|399329
399158|399319
399319|563991
399319|564003
399319|97337
399319|97336
399319|97335
399319|97332
399319|57196
399319|3314
399319|2380
399158|566943
93419|364559
364559|364568
364568|1323
364568|1321
364568|3023
364568|2793
364568|364571
364571|364574
364574|3102
364574|280651
364574|79113
364574|64542
364574|1787
364574|1827
364574|2439
364574|1788
364574|1786
364574|1784
364574|1520
364574|1131
364574|952
364574|949
364574|246
364574|245
364571|199332
364571|2749
2749|141163
2749|989
2749|1406
364568|364198
364568|294959
294959|488232
294959|476119
294959|2492
294959|71271
294959|818
294959|3259
294959|3328
294959|3258
294959|3255
294959|3246
294959|3172
294959|3168
294959|3004
294959|2957
294959|2947
294959|2935
294959|2920
294959|2917
294959|2854
294959|2378
294959|2363
294959|672
294959|2110
294959|380
294959|1986
294959|1892
294959|1757
294959|1566
294959|1527
294959|1388
294959|1113
294959|1003
294959|957
294959|36
294959|564
294959|857
294959|420584
294959|369979
294959|357332
294959|140997
140997|508501
140997|434179
140997|141330
140997|141327
140997|141007
140997|141000
140997|2756
140997|2919
140997|2755
140997|2754
140997|2753
140997|2752
140997|2751
140997|2750
294959|140952
294959|93409
294959|85203
294959|567502
364568|294957
294957|3329
294957|2019
294957|1986
294957|1122
294957|1121
294957|1118
294957|1027
364568|294955
294955|1354
294955|1326
294955|221139
294955|508542
294955|2492
294955|1891
294955|199
294955|392
294955|329319
294955|238744
294955|93333
294955|93293
294955|71271
294955|3383
294955|3329
294955|3328
294955|3312
294955|3301
294955|3138
294955|3021
294955|3016
294955|3015
294955|2879
294955|2878
294955|2854
294955|2839
294955|2730
294955|2639
294955|2564
294955|2329
294955|2310
294955|2307
294955|2249
294955|2063
294955|1988
294955|1986
294955|1972
294955|1113
294955|1112
294955|1071
1071|1072
1071|1074
294955|989
294955|988
294955|978
294955|974
294955|3103
294955|84
294955|3320
294955|496693
294955|488232
364568|294949
294949|295028
294949|217059
294949|94056
94056|295215
94056|295213
294949|3269
3269|295219
3269|295217
294949|3266
294949|3265
294949|3248
364568|228184
228184|319340
228184|228190
228184|168796
228184|2946
228184|1350
228184|1342
228184|392
364568|199315
199315|293150
199315|293144
199315|238578
364568|157808
157808|295026
157808|295024
157808|295022
157808|295020
157808|295018
364568|93459
93459|3466
93459|2725
93459|71289
93459|3270
93459|3268
93459|3250
93459|3246
93459|3237
93459|2900
93459|2760
93459|1412
93459|1228
93459|1275
93459|75496
364568|93458
93458|295002
93458|90025
90025|295012
90025|157801
90025|93406
90025|93405
90025|93404
90025|93403
93403|295199
93403|295197
93403|295195
90025|93402
93402|295193
93402|295191
93402|295189
93402|295187
90025|2498
93458|2913
2913|498470
498470|498494
498470|295004
2913|498467
498467|93335
498467|93334
2913|498464
498464|93339
498464|93338
498464|93337
498464|93336
364568|93457
93457|294927
294927|633228
294927|294973
294927|1987
294927|294977
294927|294975
93457|498461
498461|294986
498461|294983
498461|498491
498491|294981
498491|294979
498461|295000
498461|294925
294925|294971
294925|294969
294925|294967
498461|973
498461|931
93457|498457
498457|294988
498457|2130
2130|93323
2130|93322
2130|93321
2130|93320
364568|69028
69028|498454
498454|52056
498454|3433
498454|2956
498454|2946
498454|1858
498454|2911
498454|1295
498454|1292
498454|1078
498454|974
498454|1465
498454|1278
498454|363417
498454|783
783|353284
783|353281
783|353277
498454|2438
498454|1305
498454|1276
498454|247262
498454|1001
498454|444077
498454|364577
498454|166035
498454|589608
69028|498451
498451|1319
498451|1275
498451|93387
498451|93384
498451|93383
93383|572385
93383|140908
498451|93382
498451|85169
498451|2565
498451|1487
498451|498602
498451|93397
498451|93394
498451|93396
498451|93388
498451|633211
498451|1570
364568|498477
498477|2440
498477|2878
498477|2439
498477|2117
498477|1986
498477|1406
498477|1892
498477|1118
498477|3329
498477|978
498477|69085
498477|1897
498477|1896
364568|3292
364568|488434
364559|93455
93455|597749
597749|597746
597749|85201
597749|3047
93455|293150
93455|86789
93455|2554
93455|1509
93455|2614
364559|93454
93454|453499
453499|453504
453499|352665
93454|505248
93454|447974
93454|50817
93454|329191
93454|263508
93454|85200
93454|85164
93454|66637
93454|2345
93454|2062
93454|3456
93454|1797
93454|2840
93454|2759
93454|2482
93454|2206
93454|1394
93454|1393
93454|1552
93454|2311
364559|93453
93453|3262
93453|314555
93453|155896
155896|156202
156202|1296
156202|857
156202|107
155896|155899
155899|443995
155899|280651
155899|357158
155899|950
155899|861
155896|141132
155896|137888
93453|459061
93453|140997
93453|3291
93453|363705
93453|2769
93453|2549
93453|250
250|157832
250|521308
250|488437
250|398156
250|391474
250|306542
250|228390
250|1827
250|1791
250|1993
250|1521
250|1520
250|1519
93453|1794
93453|1517
364559|66630
364559|1531
