"Name"|"Symbol"|"Type"|"Locus"|"OMIM"
"kinesin family member 7"|"KIF7"|"gene with protein product"|"15q26.1"|611254
"aspartylglucosaminidase"|"AGA"|"gene with protein product"|"4q34.3"|613228
"CWC27 spliceosome associated cyclophilin"|"CWC27"|"gene with protein product"|"5q12.3"|617170
"sulfatase modifying factor 1"|"SUMF1"|"gene with protein product"|"3p26.1"|607939
"mannosidase beta"|"MANBA"|"gene with protein product"|"4q24"|609489
"tRNA splicing endonuclease subunit 54"|"TSEN54"|"gene with protein product"|"17q25.1"|608755
"von Willebrand factor"|"VWF"|"gene with protein product"|"12p13.31"|613160
"interleukin 6"|"IL6"|"gene with protein product"|"7p15.3"|147620
"interleukin 23 receptor"|"IL23R"|"gene with protein product"|"1p31.3"|607562
"nucleotide binding oligomerization domain containing 2"|"NOD2"|"gene with protein product"|"16q12.1"|605956
"neutrophil cytosolic factor 4"|"NCF4"|"gene with protein product"|"22q12.3"|601488
"autophagy related 16 like 1"|"ATG16L1"|"gene with protein product"|"2q37.1"|610767
"interferon regulatory factor 5"|"IRF5"|"gene with protein product"|"7q32.1"|607218
"immunity related GTPase M"|"IRGM"|"gene with protein product"|"5q33.1"|608212
"protein tyrosine phosphatase non-receptor type 2"|"PTPN2"|"gene with protein product"|"18p11.21"|176887
"arginyl-tRNA synthetase 2, mitochondrial"|"RARS2"|"gene with protein product"|"6q15"|611524
"N-acylsphingosine amidohydrolase 1"|"ASAH1"|"gene with protein product"|"8p22"|613468
"alpha-L-fucosidase 1"|"FUCA1"|"gene with protein product"|"1p36.11"|612280
"amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase"|"AGL"|"gene with protein product"|"1p21.2"|610860
"glycogen phosphorylase, muscle associated"|"PYGM"|"gene with protein product"|"11q13.1"|608455
"collagen type II alpha 1 chain"|"COL2A1"|"gene with protein product"|"12q13.11"|120140
"collagen type XI alpha 2 chain"|"COL11A2"|"gene with protein product"|"6p21.32"|120290
"phosphofructokinase, muscle"|"PFKM"|"gene with protein product"|"12q13.11"|610681
"FAST kinase domains 2"|"FASTKD2"|"gene with protein product"|"2q33.3"|612322
"glycogen phosphorylase L"|"PYGL"|"gene with protein product"|"14q22.1"|613741
"phosphatidylinositol glycan anchor biosynthesis class A"|"PIGA"|"gene with protein product"|"Xp22.2"|311770
"potassium two pore domain channel subfamily K member 9"|"KCNK9"|"gene with protein product"|"8q24.3"|605874
"LEM domain containing 3"|"LEMD3"|"gene with protein product"|"12q14.3"|607844
"dentin sialophosphoprotein"|"DSPP"|"gene with protein product"|"4q22.1"|125485
"thyroid hormone receptor interactor 11"|"TRIP11"|"gene with protein product"|"14q32.12"|604505
"N-acetylglucosamine-1-phosphate transferase subunits alpha and beta"|"GNPTAB"|"gene with protein product"|"12q23.2"|607840
"neuraminidase 1"|"NEU1"|"gene with protein product"|"6p21.33"|608272
"sodium voltage-gated channel alpha subunit 5"|"SCN5A"|"gene with protein product"|"3p22.2"|600163
"hyperpolarization activated cyclic nucleotide gated potassium channel 4"|"HCN4"|"gene with protein product"|"15q24.1"|605206
"myosin heavy chain 6"|"MYH6"|"gene with protein product"|"14q11.2"|160710
"mucolipin TRP cation channel 1"|"MCOLN1"|"gene with protein product"|"19p13.2"|605248
"gap junction protein beta 2"|"GJB2"|"gene with protein product"|"13q12.11"|121011
"ATP binding cassette subfamily B member 1"|"ABCB1"|"gene with protein product"|"7q21.12"|171050
"steroid sulfatase"|"STS"|"gene with protein product"|"Xp22.31"|300747
"SLIT and NTRK like family member 1"|"SLITRK1"|"gene with protein product"|"13q31.1"|609678
"inner mitochondrial membrane peptidase subunit 2"|"IMMP2L"|"gene with protein product"|"7q31.1"|605977
"histidine decarboxylase"|"HDC"|"gene with protein product"|"15q21.2"|142704
"glucuronidase beta"|"GUSB"|"gene with protein product"|"7q11.21"|611499
"major histocompatibility complex, class I, B"|"HLA-B"|"gene with protein product"|"6p21.33"|142830
"solute carrier family 1 member 1"|"SLC1A1"|"gene with protein product"|"9p24.2"|133550
"frataxin"|"FXN"|"gene with protein product"|"9q21.11"|606829
"serpin family A member 1"|"SERPINA1"|"gene with protein product"|"14q32.13"|107400
"solute carrier family 26 member 9"|"SLC26A9"|"gene with protein product"|"1q32.1"|608481
"solute carrier family 6 member 14"|"SLC6A14"|"gene with protein product"|"Xq23"|300444
"solute carrier family 9 member A3"|"SLC9A3"|"gene with protein product"|"5p15.33"|182307
"CEA cell adhesion molecule 3"|"CEACAM3"|"gene with protein product"|"19q13.2"|609142
"CEA cell adhesion molecule 6"|"CEACAM6"|"gene with protein product"|"19q13.2"|163980
"endothelin receptor type A"|"EDNRA"|"gene with protein product"|"4q31.22-q31.23"|131243
"glutathione S-transferase mu 3"|"GSTM3"|"gene with protein product"|"1p13.3"|138390
"heme oxygenase 1"|"HMOX1"|"gene with protein product"|"22q12.3"|141250
"glutamate-cysteine ligase catalytic subunit"|"GCLC"|"gene with protein product"|"6p12.1"|606857
"homeostatic iron regulator"|"HFE"|"gene with protein product"|"6p22.2"|613609
"CF transmembrane conductance regulator"|"CFTR"|"gene with protein product"|"7q31.2"|602421
"transforming growth factor beta 1"|"TGFB1"|"gene with protein product"|"19q13.2"|190180
"dynactin subunit 4"|"DCTN4"|"gene with protein product"|"5q33.1"|614758
"chloride channel accessory 4"|"CLCA4"|"gene with protein product"|"1p22.3"|616857
"syntaxin 1A"|"STX1A"|"gene with protein product"|"7q11.23"|186590
"potassium calcium-activated channel subfamily N member 4"|"KCNN4"|"gene with protein product"|"19q13.31"|602754
"macrophage migration inhibitory factor"|"MIF"|"gene with protein product"|"22q11.23"|153620
"solute carrier family 11 member 1"|"SLC11A1"|"gene with protein product"|"2q35"|600266
"mitochondrially encoded tRNA-Gln (CAA/G)"|"MT-TQ"|"Non-coding RNA"|"mitochondria"|590030
"mitochondrially encoded cytochrome c oxidase I"|"MT-CO1"|"gene with protein product"|"mitochondria"|516030
"mitochondrially encoded cytochrome c oxidase II"|"MT-CO2"|"gene with protein product"|"mitochondria"|516040
"mitochondrially encoded cytochrome c oxidase III"|"MT-CO3"|"gene with protein product"|"mitochondria"|516050
"mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1"|"MT-ND1"|"gene with protein product"|"mitochondria"|516000
"mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4"|"MT-ND4"|"gene with protein product"|"mitochondria"|516003
"mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5"|"MT-ND5"|"gene with protein product"|"mitochondria"|516005
"mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6"|"MT-ND6"|"gene with protein product"|"mitochondria"|516006
"mitochondrially encoded tRNA-Leu (UUA/G) 1"|"MT-TL1"|"Non-coding RNA"|"mitochondria"|590050
"mitochondrially encoded tRNA-Trp (UGA/G)"|"MT-TW"|"Non-coding RNA"|"mitochondria"|590095
"mitochondrially encoded tRNA-His (CAU/C)"|"MT-TH"|"Non-coding RNA"|"mitochondria"|590040
"mitochondrially encoded tRNA-Ser (UCN) 1"|"MT-TS1"|"Non-coding RNA"|"mitochondria"|590080
"mitochondrially encoded tRNA-Ser (AGU/C) 2"|"MT-TS2"|"Non-coding RNA"|"mitochondria"|590085
"mitochondrially encoded tRNA-Phe (UUU/C)"|"MT-TF"|"Non-coding RNA"|"mitochondria"|590070
"DNA methyltransferase 3 beta"|"DNMT3B"|"gene with protein product"|"20q11.21"|602900
"double homeobox 4"|"DUX4"|"gene with protein product"|"4q35.2"|606009
"double homeobox 4 like 1 (pseudogene)"|"DUX4L1"|"Non-coding RNA"|"4q35.2"|
"FSHD region gene 1"|"FRG1"|"gene with protein product"|"4q35.2"|601278
"structural maintenance of chromosomes flexible hinge domain containing 1"|"SMCHD1"|"gene with protein product"|"18p11.32"|614982
"mitochondrially encoded ATP synthase membrane subunit 8"|"MT-ATP8"|"gene with protein product"|"mitochondria"|516070
"ribonucleotide reductase regulatory TP53 inducible subunit M2B"|"RRM2B"|"gene with protein product"|"8q22.3"|604712
"mitochondrially encoded tRNA-Pro (CCN)"|"MT-TP"|"Non-coding RNA"|"mitochondria"|590075
"mitochondrially encoded tRNA-Lys (AAA/G)"|"MT-TK"|"Non-coding RNA"|"mitochondria"|590060
"mitochondrially encoded 12S rRNA"|"MT-RNR1"|"Non-coding RNA"|"mitochondria"|561000
"ryanodine receptor 1"|"RYR1"|"gene with protein product"|"19q13.2"|180901
"SRY-box transcription factor 10"|"SOX10"|"gene with protein product"|"22q13.1"|602229
"sodium voltage-gated channel alpha subunit 4"|"SCN4A"|"gene with protein product"|"17q23.3"|603967
"interleukin 36 receptor antagonist"|"IL36RN"|"gene with protein product"|"2q14.1"|605507
"adaptor related protein complex 1 subunit sigma 3"|"AP1S3"|"gene with protein product"|"2q36.1"|615781
"calcium/calmodulin dependent serine protein kinase"|"CASK"|"gene with protein product"|"Xp11.4"|300172
"chloride voltage-gated channel 1"|"CLCN1"|"gene with protein product"|"7q34"|118425
"histone deacetylase 6"|"HDAC6"|"gene with protein product"|"Xp11.23"|300272
"DNA polymerase alpha 1, catalytic subunit"|"POLA1"|"gene with protein product"|"Xp22.11-p21.3"|312040
"ubiquitin conjugating enzyme E2 A"|"UBE2A"|"gene with protein product"|"Xq24"|312180
"galactosidase alpha"|"GLA"|"gene with protein product"|"Xq22.1"|300644
"Cdc42 guanine nucleotide exchange factor 9"|"ARHGEF9"|"gene with protein product"|"Xq11.1"|300429
"methyl-CpG binding protein 2"|"MECP2"|"gene with protein product"|"Xq28"|300005
"ciliogenesis associated kinase 1"|"CILK1"|"gene with protein product"|"6p12.1"|612325
"calcium voltage-gated channel auxiliary subunit beta 4"|"CACNB4"|"gene with protein product"|"2q23.3"|601949
"EF-hand domain containing 1"|"EFHC1"|"gene with protein product"|"6p12.2"|608815
"gamma-aminobutyric acid type A receptor subunit alpha1"|"GABRA1"|"gene with protein product"|"5q34"|137160
"gamma-aminobutyric acid type A receptor subunit delta"|"GABRD"|"gene with protein product"|"1p36.33"|137163
"potassium voltage-gated channel subfamily Q member 3"|"KCNQ3"|"gene with protein product"|"8q24.22"|602232
"Jrk helix-turn-helix protein"|"JRK"|"gene with protein product"|"8q24.3"|603210
"chloride voltage-gated channel 2"|"CLCN2"|"gene with protein product"|"3q27.1"|600570
"cyclin D1"|"CCND1"|"gene with protein product"|"11q13.3"|168461
"von Hippel-Lindau tumor suppressor"|"VHL"|"gene with protein product"|"3p25.3"|608537
"DAZ interacting zinc finger protein 1 like"|"DZIP1L"|"gene with protein product"|"3q22.3"|617570
"PKHD1 ciliary IPT domain containing fibrocystin/polyductin"|"PKHD1"|"gene with protein product"|"6p12.3-p12.2"|606702
"period circadian regulator 3"|"PER3"|"gene with protein product"|"1p36.23"|603427
"casein kinase 1 delta"|"CSNK1D"|"gene with protein product"|"17q25.3"|600864
"period circadian regulator 2"|"PER2"|"gene with protein product"|"2q37.3"|603426
"semaphorin 3E"|"SEMA3E"|"gene with protein product"|"7q21.11"|608166
"chromodomain helicase DNA binding protein 7"|"CHD7"|"gene with protein product"|"8q12.2"|608892
"carboxypeptidase A6"|"CPA6"|"gene with protein product"|"8q13.2"|609562
"cyclin F"|"CCNF"|"gene with protein product"|"16p13.3"|600227
"TATA-box binding protein associated factor 15"|"TAF15"|"gene with protein product"|"17q12"|601574
"EPH receptor A4"|"EPHA4"|"gene with protein product"|"2q36.1"|602188
"annexin A11"|"ANXA11"|"gene with protein product"|"10q22.3"|602572
"cilia and flagella associated protein 410"|"CFAP410"|"gene with protein product"|"21q22.3"|603191
"GLE1 RNA export mediator"|"GLE1"|"gene with protein product"|"9q34.11"|603371
"NIMA related kinase 1"|"NEK1"|"gene with protein product"|"4q33"|604588
"glycosyltransferase 8 domain containing 1"|"GLT8D1"|"gene with protein product"|"3p21.1"|618399
"coiled-coil-helix-coiled-coil-helix domain containing 10"|"CHCHD10"|"gene with protein product"|"22q11.23"|615903
"D-amino acid oxidase"|"DAO"|"gene with protein product"|"12q24.11"|124050
"ataxin 2"|"ATXN2"|"gene with protein product"|"12q24.12"|601517
"charged multivesicular body protein 2B"|"CHMP2B"|"gene with protein product"|"3p11.2"|609512
"superoxide dismutase 1"|"SOD1"|"gene with protein product"|"21q22.11"|147450
"triggering receptor expressed on myeloid cells 2"|"TREM2"|"gene with protein product"|"6p21.1"|605086
"VAMP associated protein B and C"|"VAPB"|"gene with protein product"|"20q13.32"|605704
"valosin containing protein"|"VCP"|"gene with protein product"|"9p13.3"|601023
"neurofilament heavy chain"|"NEFH"|"gene with protein product"|"22q12.2"|162230
"optineurin"|"OPTN"|"gene with protein product"|"10p13"|602432
"dynactin subunit 1"|"DCTN1"|"gene with protein product"|"2p13.1"|601143
"TAR DNA binding protein"|"TARDBP"|"gene with protein product"|"1p36.22"|605078
"FIG4 phosphoinositide 5-phosphatase"|"FIG4"|"gene with protein product"|"6q21"|609390
"FUS RNA binding protein"|"FUS"|"gene with protein product"|"16p11.2"|137070
"angiogenin"|"ANG"|"gene with protein product"|"14q11.2"|105850
"matrin 3"|"MATR3"|"gene with protein product"|"5q31.2"|164015
"peripherin"|"PRPH"|"gene with protein product"|"12q13.12"|170710
"paraoxonase 1"|"PON1"|"gene with protein product"|"7q21.3"|168820
"paraoxonase 2"|"PON2"|"gene with protein product"|"7q21.3"|602447
"paraoxonase 3"|"PON3"|"gene with protein product"|"7q21.3"|602720
"sequestosome 1"|"SQSTM1"|"gene with protein product"|"5q35.3"|601530
"ubiquilin 2"|"UBQLN2"|"gene with protein product"|"Xp11.21"|300264
"C9orf72-SMCR8 complex subunit"|"C9ORF72"|"gene with protein product"|"9p21.2"|614260
"profilin 1"|"PFN1"|"gene with protein product"|"17p13.2"|176610
"TANK binding kinase 1"|"TBK1"|"gene with protein product"|"12q14.2"|604834
"heterogeneous nuclear ribonucleoprotein A1"|"HNRNPA1"|"gene with protein product"|"12q13.13"|164017
"PPARG coactivator 1 alpha"|"PPARGC1A"|"gene with protein product"|"4p15.2"|604517
"erb-b2 receptor tyrosine kinase 4"|"ERBB4"|"gene with protein product"|"2q34"|600543
"unc-13 homolog A"|"UNC13A"|"gene with protein product"|"19p13.11"|609894
"TNF receptor superfamily member 1A"|"TNFRSF1A"|"gene with protein product"|"12p13.31"|191190
